route_name,sep_factor,theta_sep_deg,theta_a_deg,theta_b_deg,snr_db,raw_success_count,tol_success_count,tol_success_count_rel,raw_success_rate,tol_success_rate,tol_success_rate_rel,rmse_deg,rmse_valid_count,mean_num_peaks,snr90_db,snr90_rel_db,mean_fft_center_error_deg,std_fft_center_error_deg,mean_fwhm_fft_deg,std_fwhm_fft_deg,mean_raw_search_ratio_4e,mean_piecewise_search_ratio_4e,mean_piecewise_span_ratio_4e,mean_theta_search_4e_deg,mean_routeB_beam_span_4e_deg,lambda2_over_noise_array,lambda2_over_noise_beam,root_dist_array_mean,root_dist_beam_mean
proto4e_fft_piecewise_grid_music,9,0.311111,12.844444,13.155556,28,200,200,200,1.000000,1.000000,1.000000,0.013998,200,2.000000,22.000000,22.000000,-0.004301,0.067660,1.932590,0.053172,1.863569,1.302714,1.259290,1.621155,2.350675,20.455220,21.438998,0.001220,0.001171
proto4e_fft_piecewise_grid_music,10,0.280000,12.860000,13.140000,14,0,0,0,0.000000,0.000000,0.000000,0.000000,0,0.810000,24.000000,24.000000,-2.052788,21.149045,2.188920,0.820991,2.345271,1.364735,1.319244,1.528503,2.216330,1.365721,1.430115,0.012653,0.011876
proto4e_fft_piecewise_grid_music,10,0.280000,12.860000,13.140000,16,0,0,0,0.000000,0.000000,0.000000,0.000000,0,0.945000,24.000000,24.000000,-0.131979,12.692348,2.140986,0.772347,2.293914,1.361167,1.315795,1.524507,2.210536,1.661980,1.742432,0.008572,0.008095
proto4e_fft_piecewise_grid_music,10,0.280000,12.860000,13.140000,18,6,5,5,0.030000,0.025000,0.025000,0.058223,6,1.030000,24.000000,24.000000,0.000857,0.361645,1.985167,0.193668,2.126965,1.354514,1.309364,1.517056,2.199731,2.126914,2.227937,0.005994,0.005668
proto4e_fft_piecewise_grid_music,10,0.280000,12.860000,13.140000,20,61,61,51,0.305000,0.305000,0.255000,0.046399,61,1.300000,24.000000,24.000000,0.008479,0.174431,1.955576,0.126822,2.095260,1.349010,1.304043,1.510891,2.190792,2.876734,3.013726,0.004502,0.004297
proto4e_fft_piecewise_grid_music,10,0.280000,12.860000,13.140000,22,147,147,142,0.735000,0.735000,0.710000,0.037568,147,1.735000,24.000000,24.000000,-0.000020,0.153473,1.935417,0.104804,2.073661,1.344732,1.299908,1.506100,2.183845,4.079601,4.275817,0.003232,0.003078
proto4e_fft_piecewise_grid_music,10,0.280000,12.860000,13.140000,24,191,191,191,0.955000,0.955000,0.955000,0.030959,191,1.955000,24.000000,24.000000,-0.008016,0.116140,1.942011,0.087172,2.080726,1.346145,1.301274,1.507683,2.186140,5.948532,6.234095,0.002534,0.002422
proto4e_fft_piecewise_grid_music,10,0.280000,12.860000,13.140000,26,200,200,200,1.000000,1.000000,1.000000,0.022825,200,2.000000,24.000000,24.000000,0.006565,0.083978,1.942363,0.067903,2.081104,1.346221,1.301347,1.507767,2.186262,8.902864,9.337122,0.001968,0.001883
proto4e_fft_piecewise_grid_music,10,0.280000,12.860000,13.140000,28,200,200,200,1.000000,1.000000,1.000000,0.016198,200,2.000000,24.000000,24.000000,-0.003112,0.069839,1.932351,0.056037,2.070377,1.344075,1.299273,1.505364,2.182778,13.618344,14.283692,0.001562,0.001499
proto6_array_root_music,7,0.400000,12.800000,13.200000,14,200,199,199,1.000000,0.995000,0.995000,0.046363,200,2.000000,14.000000,14.000000,-2.849347,24.348154,2.300695,0.733778,1.725521,1.261958,1.219893,2.019133,2.927743,3.022733,3.170808,0.004277,0.004076
proto6_array_root_music,7,0.400000,12.800000,13.200000,16,200,200,200,1.000000,1.000000,1.000000,0.033274,200,2.000000,14.000000,14.000000,-2.107174,14.663796,2.144794,0.518973,1.608596,1.243887,1.202424,1.990219,2.885818,4.318340,4.526839,0.003181,0.003031
proto6_array_root_music,7,0.400000,12.800000,13.200000,18,200,200,200,1.000000,1.000000,1.000000,0.026673,200,2.000000,14.000000,14.000000,-0.349792,4.358732,1.979246,0.210318,1.484435,1.224203,1.183396,1.958725,2.840151,6.347570,6.656174,0.002429,0.002323
proto6_array_root_music,7,0.400000,12.800000,13.200000,20,200,200,200,1.000000,1.000000,1.000000,0.019190,200,2.000000,14.000000,14.000000,-0.004069,0.187952,1.975256,0.161504,1.481442,1.225034,1.184200,1.960055,2.842079,9.591816,10.058360,0.001908,0.001828
proto6_array_root_music,7,0.400000,12.800000,13.200000,22,200,200,200,1.000000,1.000000,1.000000,0.015450,200,2.000000,14.000000,14.000000,0.005232,0.139771,1.961268,0.118530,1.470951,1.223216,1.182442,1.957145,2.837860,14.683124,15.388589,0.001449,0.001387
