sweep_phase,config_name,coarse_config_name,refine_config_name,topK,coarse_az_step,coarse_el_step,fine_az_step,fine_el_step,local_az_half_width,local_el_center_half_width,coarse_el_sep_list_text,fine_el_sep_list_text,full_fine_success,coarse_to_fine_success,full_fine_rmse,coarse_to_fine_rmse,full_fine_worst_case_success,coarse_to_fine_worst_case_success,full_fine_mean_num_pairs,coarse_to_fine_mean_num_pairs,coarse_mean_num_pairs,refine_mean_num_pairs,complexity_reduction_ratio,topK_miss_rate,boundary_hit_rate,el_sep_match_rate_vs_full,full_grid_match_rate,screening_score,screening_pass,final_pass,selected_for_confirmation
screening,coarse_020_030_compact__topK10__refine_small_compact,coarse_020_030_compact,refine_small_compact,10,0.2,0.3,0.08,0.12,0.16,0.24,"[0,0.36,0.48,0.72]","[0,0.36,0.48,0.72]",1,1,0.077310897728952,0.0182032989911424,1,1,131461,10176,5640,4536,12.918730345912,0.4,0,0.6,0,0.711121983325198,0,0,0
screening,coarse_020_030_compact__topK10__refine_stage1_safe,coarse_020_030_compact,refine_stage1_safe,10,0.2,0.3,0.04,0.06,0.32,0.48,"[0,0.36,0.48,0.72]","[0,0.24,0.36,0.48,0.6,0.72]",1,1,0.077310897728952,0.0182032989911424,1,1,131461,114154.066666667,5640,108514.066666667,1.15161030910857,0,0,0.6,0,1.00613055439873,0,0,0
screening,coarse_020_030_compact__topK3__refine_mid_compact,coarse_020_030_compact,refine_mid_compact,3,0.2,0.3,0.08,0.12,0.24,0.36,"[0,0.36,0.48,0.72]","[0,0.36,0.48,0.72]",1,1,0.077310897728952,0.0182032989911424,1,1,131461,9961.8,5640,4321.8,13.1965106707623,0.4,0,0.6,0,0.71204591132694,0,0,0
screening,coarse_020_030_compact__topK3__refine_mid_finer,coarse_020_030_compact,refine_mid_finer,3,0.2,0.3,0.04,0.06,0.24,0.36,"[0,0.36,0.48,0.72]","[0,0.36,0.48,0.72]",1,1,0.077310897728952,0.0182032989911424,1,1,131461,27207,5640,21567,4.83188150108428,0.4,0,0.6,0,0.668411627493918,0,0,0
screening,coarse_020_030_compact__topK3__refine_safe_compact,coarse_020_030_compact,refine_safe_compact,3,0.2,0.3,0.08,0.12,0.32,0.48,"[0,0.36,0.48,0.72]","[0,0.36,0.48,0.72]",1,1,0.077310897728952,0.0182032989911424,1,1,131461,14812.8,5640,9172.8,8.87482447612875,0.4,0,0.6,0,0.694815977245361,0,0,0
screening,coarse_020_030_compact__topK3__refine_safe_fullsep,coarse_020_030_compact,refine_safe_fullsep,3,0.2,0.3,0.08,0.12,0.32,0.48,"[0,0.36,0.48,0.72]","[0,0.24,0.36,0.48,0.6,0.72]",1,1,0.077310897728952,0.0182032989911424,1,1,131461,20054.4,5640,14414.4,6.55521980213818,0,0,0.6,0,1.08165872585364,1,0,1
screening,coarse_020_030_compact__topK3__refine_small_compact,coarse_020_030_compact,refine_small_compact,3,0.2,0.3,0.08,0.12,0.16,0.24,"[0,0.36,0.48,0.72]","[0,0.36,0.48,0.72]",1,1,0.077310897728952,0.0182032989911424,1,1,131461,7215,5640,1575,18.2205128205128,0.4,0,0.6,0,0.726056059612681,0,0,0
screening,coarse_020_030_compact__topK3__refine_stage1_safe,coarse_020_030_compact,refine_stage1_safe,3,0.2,0.3,0.04,0.06,0.32,0.48,"[0,0.36,0.48,0.72]","[0,0.24,0.36,0.48,0.6,0.72]",1,1,0.077310897728952,0.0182032989911424,1,1,131461,76774.8,5640,71134.8,1.71229361717647,0,0,0.6,0,1.02335782377862,1,0,0
screening,coarse_020_030_compact__topK5__refine_mid_compact,coarse_020_030_compact,refine_mid_compact,5,0.2,0.3,0.08,0.12,0.24,0.36,"[0,0.36,0.48,0.72]","[0,0.36,0.48,0.72]",1,1,0.077310897728952,0.0182032989911424,1,1,131461,12829.9333333333,5640,7189.93333333333,10.2464289240266,0.4,0,0.6,0,0.701057253184863,0,0,0
screening,coarse_020_030_compact__topK5__refine_mid_finer,coarse_020_030_compact,refine_mid_finer,5,0.2,0.3,0.04,0.06,0.24,0.36,"[0,0.36,0.48,0.72]","[0,0.36,0.48,0.72]",1,1,0.077310897728952,0.0182032989911424,1,1,131461,33972.2,5640,28332.2,3.8696640194041,0.4,0,0.6,0,0.658767325937212,0,0,0
screening,coarse_020_030_compact__topK5__refine_safe_compact,coarse_020_030_compact,refine_safe_compact,5,0.2,0.3,0.08,0.12,0.32,0.48,"[0,0.36,0.48,0.72]","[0,0.36,0.48,0.72]",1,1,0.077310897728952,0.0182032989911424,1,1,131461,20817.4666666667,5640,15177.4666666667,6.31493745636677,0.4,0,0.6,0,0.680036905362622,0,0,0
screening,coarse_020_030_compact__topK5__refine_safe_fullsep,coarse_020_030_compact,refine_safe_fullsep,5,0.2,0.3,0.08,0.12,0.32,0.48,"[0,0.36,0.48,0.72]","[0,0.24,0.36,0.48,0.6,0.72]",1,1,0.077310897728952,0.0182032989911424,1,1,131461,29496.4,5640,23856.4,4.4568489713999,0,0,0.6,0,1.06490279174609,1,0,0
screening,coarse_020_030_compact__topK5__refine_small_compact,coarse_020_030_compact,refine_small_compact,5,0.2,0.3,0.08,0.12,0.16,0.24,"[0,0.36,0.48,0.72]","[0,0.36,0.48,0.72]",1,1,0.077310897728952,0.0182032989911424,1,1,131461,8265,5640,2625,15.9057471264368,0.4,0,0.6,0,0.720155407364886,0,0,0
screening,coarse_020_030_compact__topK5__refine_stage1_safe,coarse_020_030_compact,refine_stage1_safe,5,0.2,0.3,0.04,0.06,0.32,0.48,"[0,0.36,0.48,0.72]","[0,0.24,0.36,0.48,0.6,0.72]",1,1,0.077310897728952,0.0182032989911424,1,1,131461,94091.7333333333,5640,88451.7333333333,1.39715780911678,0,0,0.6,0,1.01452454624906,0,0,0
