route_name,sep_factor,theta_sep_deg,theta_a_deg,theta_b_deg,snr_db,raw_success_count,tol_success_count,raw_success_rate,tol_success_rate,rmse_deg,rmse_valid_count,mean_num_peaks,snr90_db,mean_fft_center_error_deg,std_fft_center_error_deg,mean_fwhm_fft_deg,std_fwhm_fft_deg,mean_theta_search_adapt_deg,mean_routeB_beam_span_adapt_deg
fft_guided_centerT_adaptive_window,7,0.400000,12.800000,13.200000,22,200,200,1.000000,1.000000,0.017409,200,2.000000,16.000000,0.004048,0.146601,1.967577,0.114455,2.354355,3.531532
fft_guided_centerT_adaptive_window,7,0.400000,12.800000,13.200000,24,200,200,1.000000,1.000000,0.012412,200,2.000000,16.000000,0.005390,0.116257,1.961521,0.103494,2.349940,3.524910
fft_guided_centerT_adaptive_window,7,0.400000,12.800000,13.200000,26,200,200,1.000000,1.000000,0.010069,200,2.000000,16.000000,-0.000392,0.087337,1.950519,0.065016,2.340370,3.510555
fft_guided_centerT_adaptive_window,7,0.400000,12.800000,13.200000,28,200,200,1.000000,1.000000,0.007857,200,2.000000,16.000000,0.003844,0.064456,1.941457,0.053533,2.329749,3.494623
fft_guided_centerT_adaptive_window,8,0.350000,12.825000,13.175000,14,19,19,0.095000,0.095000,0.062372,19,0.925000,20.000000,-5.331257,23.069763,2.369625,1.294977,2.199211,3.298816
fft_guided_centerT_adaptive_window,8,0.350000,12.825000,13.175000,16,120,114,0.600000,0.570000,0.053602,120,1.570000,20.000000,-0.216685,8.771927,2.022626,0.406351,2.196724,3.295086
fft_guided_centerT_adaptive_window,8,0.350000,12.825000,13.175000,18,177,174,0.885000,0.870000,0.042354,177,1.880000,20.000000,-0.383741,5.345339,1.982427,0.251140,2.213618,3.320427
fft_guided_centerT_adaptive_window,8,0.350000,12.825000,13.175000,20,199,198,0.995000,0.990000,0.030456,199,1.995000,20.000000,-0.003567,0.178377,1.973414,0.139433,2.225662,3.338493
fft_guided_centerT_adaptive_window,8,0.350000,12.825000,13.175000,22,200,200,1.000000,1.000000,0.022991,200,2.000000,20.000000,0.001326,0.134593,1.959070,0.125505,2.226591,3.339887
fft_guided_centerT_adaptive_window,8,0.350000,12.825000,13.175000,24,200,200,1.000000,1.000000,0.016439,200,2.000000,20.000000,0.002502,0.108889,1.949897,0.086173,2.231709,3.347564
fft_guided_centerT_adaptive_window,8,0.350000,12.825000,13.175000,26,200,200,1.000000,1.000000,0.013114,200,2.000000,20.000000,0.002493,0.086160,1.941423,0.062076,2.236229,3.354343
fft_guided_centerT_adaptive_window,8,0.350000,12.825000,13.175000,28,200,200,1.000000,1.000000,0.011015,200,2.000000,20.000000,0.005542,0.068203,1.941714,0.057555,2.238148,3.357222
fft_guided_centerT_adaptive_window,9,0.311111,12.844444,13.155556,14,2,2,0.010000,0.010000,0.064666,2,0.875000,22.000000,-2.480933,19.420776,2.255329,0.884887,1.987946,2.981919
fft_guided_centerT_adaptive_window,9,0.311111,12.844444,13.155556,16,12,10,0.060000,0.050000,0.060519,12,0.985000,22.000000,-0.357392,13.224978,2.134858,0.661328,1.986282,2.979422
fft_guided_centerT_adaptive_window,9,0.311111,12.844444,13.155556,18,76,73,0.380000,0.365000,0.055660,76,1.375000,22.000000,-0.229767,4.168507,1.977797,0.265928,1.990305,2.985458
fft_guided_centerT_adaptive_window,9,0.311111,12.844444,13.155556,20,164,162,0.820000,0.810000,0.042952,164,1.820000,22.000000,0.003395,0.184517,1.965681,0.140217,1.990902,2.986354
fft_guided_centerT_adaptive_window,9,0.311111,12.844444,13.155556,22,197,197,0.985000,0.985000,0.029894,197,1.985000,22.000000,-0.010713,0.149882,1.944860,0.116863,1.991111,2.986667
fft_guided_centerT_adaptive_window,9,0.311111,12.844444,13.155556,24,200,200,1.000000,1.000000,0.023931,200,2.000000,22.000000,-0.000383,0.109567,1.950221,0.090753,1.991111,2.986667
fft_guided_centerT_adaptive_window,9,0.311111,12.844444,13.155556,26,200,200,1.000000,1.000000,0.018333,200,2.000000,22.000000,0.001644,0.086394,1.937049,0.066387,1.991111,2.986667
fft_guided_centerT_adaptive_window,9,0.311111,12.844444,13.155556,28,200,200,1.000000,1.000000,0.013942,200,2.000000,22.000000,-0.002264,0.068265,1.936411,0.055138,1.991111,2.986667
fft_guided_centerT_adaptive_window,10,0.280000,12.860000,13.140000,14,1,0,0.005000,0.000000,13.113898,1,0.880000,24.000000,-5.506668,21.273561,2.194153,0.640647,1.789192,2.683788
fft_guided_centerT_adaptive_window,10,0.280000,12.860000,13.140000,16,1,1,0.005000,0.005000,0.041307,1,0.970000,24.000000,-1.292545,10.645811,2.059819,0.540109,1.792000,2.688000
fft_guided_centerT_adaptive_window,10,0.280000,12.860000,13.140000,18,8,6,0.040000,0.030000,0.082239,8,1.030000,24.000000,0.307738,4.680274,2.025902,0.459536,1.792000,2.688000
fft_guided_centerT_adaptive_window,10,0.280000,12.860000,13.140000,20,63,62,0.315000,0.310000,0.048239,63,1.315000,24.000000,-0.003566,0.179377,1.960498,0.146912,1.792000,2.688000
fft_guided_centerT_adaptive_window,10,0.280000,12.860000,13.140000,22,145,145,0.725000,0.725000,0.041112,145,1.725000,24.000000,-0.006312,0.130945,1.951327,0.102199,1.792000,2.688000
fft_guided_centerT_adaptive_window,10,0.280000,12.860000,13.140000,24,191,191,0.955000,0.955000,0.030448,191,1.955000,24.000000,-0.007341,0.108913,1.947206,0.082952,1.792000,2.688000
fft_guided_centerT_adaptive_window,10,0.280000,12.860000,13.140000,26,199,199,0.995000,0.995000,0.022404,199,1.995000,24.000000,0.005547,0.084904,1.934771,0.062397,1.792000,2.688000
fft_guided_centerT_adaptive_window,10,0.280000,12.860000,13.140000,28,200,200,1.000000,1.000000,0.017991,200,2.000000,24.000000,0.002658,0.071765,1.931784,0.052353,1.792000,2.688000
