route_name,manifold_type,sep_factor,theta_sep_deg,theta_a_deg,theta_b_deg,snr_db,raw_success_rate,tol_success_rate,tol_success_rate_rel,rmse_deg,snr90_db,snr90_rel_db,mean_bias_deg,max_bias_deg,degraded_sample_count,num_peaks_found,lambda2_over_noise
multilayer_coherent_proto14_N32_baseline,root_music_ula_from_proto14,5,1.090000,-0.545000,0.545000,24,1.000000,1.000000,1.000000,0.036267,22.000000,14.000000,-0.013808,0.041501,0,2.000000,12.439041
multilayer_coherent_proto14_N32_baseline,root_music_ula_from_proto14,5,1.090000,-0.545000,0.545000,26,1.000000,1.000000,1.000000,0.033255,22.000000,14.000000,-0.016235,0.041380,0,2.000000,19.126781
multilayer_coherent_proto14_N32_baseline,root_music_ula_from_proto14,5,1.090000,-0.545000,0.545000,28,1.000000,1.000000,1.000000,0.031341,22.000000,14.000000,-0.016922,0.040549,0,2.000000,29.847767
multilayer_coherent_proto14_N32_baseline,root_music_ula_from_proto14,5,1.090000,-0.545000,0.545000,30,1.000000,1.000000,1.000000,0.028196,22.000000,14.000000,-0.013566,0.036694,0,2.000000,46.651162
multilayer_coherent_proto14_N32_baseline,root_music_ula_from_proto14,7,0.778571,-0.389286,0.389286,-4,0.875000,0.000000,0.000000,28.171015,28.000000,24.000000,1.897714,18.453072,200,1.750000,1.071114
multilayer_coherent_proto14_N32_baseline,root_music_ula_from_proto14,7,0.778571,-0.389286,0.389286,-2,0.870000,0.000000,0.000000,27.234797,28.000000,24.000000,3.418696,19.334563,200,1.740000,1.072531
multilayer_coherent_proto14_N32_baseline,root_music_ula_from_proto14,7,0.778571,-0.389286,0.389286,0,0.890000,0.000000,0.000000,28.367721,28.000000,24.000000,-1.105232,17.991643,200,1.780000,1.071840
multilayer_coherent_proto14_N32_baseline,root_music_ula_from_proto14,7,0.778571,-0.389286,0.389286,2,0.910000,0.000000,0.000000,27.477864,28.000000,24.000000,1.440517,17.841196,200,1.820000,1.072312
multilayer_coherent_proto14_N32_baseline,root_music_ula_from_proto14,7,0.778571,-0.389286,0.389286,4,0.865000,0.000000,0.000000,25.967905,28.000000,24.000000,-2.225626,17.524193,200,1.730000,1.070107
multilayer_coherent_proto14_N32_baseline,root_music_ula_from_proto14,7,0.778571,-0.389286,0.389286,6,0.900000,0.000000,0.000000,27.673030,28.000000,24.000000,-1.090224,17.440739,200,1.800000,1.070581
multilayer_coherent_proto14_N32_baseline,root_music_ula_from_proto14,7,0.778571,-0.389286,0.389286,8,0.845000,0.000000,0.000000,24.186333,28.000000,24.000000,-0.488409,13.952764,200,1.690000,1.073136
multilayer_coherent_proto14_N32_baseline,root_music_ula_from_proto14,7,0.778571,-0.389286,0.389286,10,0.930000,0.000000,0.000000,21.713839,28.000000,24.000000,0.491934,11.695567,191,1.860000,1.081074
multilayer_coherent_proto14_N32_baseline,root_music_ula_from_proto14,7,0.778571,-0.389286,0.389286,12,0.960000,0.000000,0.000000,13.845440,28.000000,24.000000,-0.450906,5.740538,139,1.920000,1.112362
multilayer_coherent_proto14_N32_baseline,root_music_ula_from_proto14,7,0.778571,-0.389286,0.389286,14,0.995000,0.000000,0.000000,1.964569,28.000000,24.000000,-0.137894,0.329172,23,1.990000,1.195407
multilayer_coherent_proto14_N32_baseline,root_music_ula_from_proto14,7,0.778571,-0.389286,0.389286,16,1.000000,0.000000,0.000000,0.348317,28.000000,24.000000,-0.007322,0.141950,4,2.000000,1.362343
multilayer_coherent_proto14_N32_baseline,root_music_ula_from_proto14,7,0.778571,-0.389286,0.389286,18,1.000000,0.000000,0.055000,0.253314,28.000000,24.000000,0.001480,0.185959,0,2.000000,1.626226
multilayer_coherent_proto14_N32_baseline,root_music_ula_from_proto14,7,0.778571,-0.389286,0.389286,20,1.000000,0.015000,0.330000,0.197435,28.000000,24.000000,-0.011901,0.151870,0,2.000000,2.058792
multilayer_coherent_proto14_N32_baseline,root_music_ula_from_proto14,7,0.778571,-0.389286,0.389286,22,1.000000,0.170000,0.820000,0.125646,28.000000,24.000000,-0.013079,0.104006,0,2.000000,2.743580
multilayer_coherent_proto14_N32_baseline,root_music_ula_from_proto14,7,0.778571,-0.389286,0.389286,24,1.000000,0.505000,0.995000,0.082763,28.000000,24.000000,-0.012668,0.074242,0,2.000000,3.841112
multilayer_coherent_proto14_N32_baseline,root_music_ula_from_proto14,7,0.778571,-0.389286,0.389286,26,1.000000,0.870000,1.000000,0.060341,28.000000,24.000000,-0.015781,0.061557,0,2.000000,5.568586
