route_name,sep_factor,theta_sep_deg,theta_a_deg,theta_b_deg,snr_db,raw_success_count,tol_success_count,tol_success_count_rel,raw_success_rate,tol_success_rate,tol_success_rate_rel,rmse_deg,rmse_valid_count,mean_num_peaks,snr90_db,snr90_rel_db,mean_bias_deg,max_bias_deg,mean_az_a_est,mean_az_b_est,lambda2_over_noise,degraded_sample_count,measured_snr_gain_db
cylindrical_singlelayer_proto10_baseline,7,0.778571,-0.389286,0.389286,0,177,0,0,0.885000,0.000000,0.000000,27.724437,177,1.770000,NaN,NaN,0.627513,17.156975,-16.291234,17.546261,1.072605,200,0.000000
cylindrical_singlelayer_proto10_baseline,7,0.778571,-0.389286,0.389286,2,180,0,0,0.900000,0.000000,0.000000,26.390221,180,1.800000,NaN,NaN,-1.845605,17.345339,-17.734625,14.043415,1.072020,200,0.000000
cylindrical_singlelayer_proto10_baseline,7,0.778571,-0.389286,0.389286,4,177,0,0,0.885000,0.000000,0.000000,27.940282,177,1.770000,NaN,NaN,1.179357,17.860787,-15.891359,18.250072,1.069850,200,0.000000
cylindrical_singlelayer_proto10_baseline,7,0.778571,-0.389286,0.389286,6,164,0,0,0.820000,0.000000,0.000000,29.566097,164,1.640000,NaN,NaN,-1.910833,19.814000,-20.203286,16.381620,1.074950,200,0.000000
cylindrical_singlelayer_proto10_baseline,7,0.778571,-0.389286,0.389286,8,165,0,0,0.825000,0.000000,0.000000,28.108468,165,1.650000,NaN,NaN,0.067887,16.773908,-17.027420,17.163194,1.071783,200,0.000000
cylindrical_singlelayer_proto10_baseline,7,0.778571,-0.389286,0.389286,10,170,0,0,0.850000,0.000000,0.000000,26.877415,170,1.700000,NaN,NaN,-1.512848,17.298815,-17.688100,14.662405,1.072506,200,0.000000
cylindrical_singlelayer_proto10_baseline,7,0.778571,-0.389286,0.389286,12,171,0,0,0.855000,0.000000,0.000000,28.513101,171,1.710000,NaN,NaN,2.263238,19.056657,-14.919467,19.445943,1.070830,200,0.000000
cylindrical_singlelayer_proto10_baseline,7,0.778571,-0.389286,0.389286,14,177,0,0,0.885000,0.000000,0.000000,28.768670,177,1.770000,NaN,NaN,1.161653,17.966928,-16.032907,18.356214,1.071327,200,0.000000
cylindrical_singlelayer_proto10_baseline,7,0.778571,-0.389286,0.389286,16,173,0,0,0.865000,0.000000,0.000000,28.732310,173,1.730000,NaN,NaN,2.758396,19.723454,-14.595948,20.112740,1.072641,200,0.000000
cylindrical_singlelayer_proto10_baseline,7,0.778571,-0.389286,0.389286,18,170,0,0,0.850000,0.000000,0.000000,26.901821,170,1.700000,NaN,NaN,1.165191,17.189157,-15.248060,17.578443,1.071712,200,0.000000
cylindrical_singlelayer_proto10_baseline,7,0.778571,-0.389286,0.389286,20,179,0,0,0.895000,0.000000,0.000000,25.828958,179,1.790000,NaN,NaN,-0.700815,15.777494,-16.166779,14.765150,1.072607,200,0.000000
cylindrical_singlelayer_proto10_baseline,7,0.778571,-0.389286,0.389286,22,177,0,0,0.885000,0.000000,0.000000,27.094295,177,1.770000,NaN,NaN,2.091688,17.526472,-13.732383,17.915758,1.071881,198,0.000000
cylindrical_singlelayer_proto10_baseline,7,0.778571,-0.389286,0.389286,24,180,0,0,0.900000,0.000000,0.000000,23.812669,180,1.800000,NaN,NaN,1.275665,14.128650,-11.966606,14.517935,1.073850,195,0.000000
cylindrical_singlelayer_proto10_baseline,7,0.778571,-0.389286,0.389286,26,183,0,0,0.915000,0.000000,0.000000,19.311718,183,1.830000,NaN,NaN,0.611057,9.978048,-9.145220,10.367333,1.087155,174,0.000000
cylindrical_singlelayer_proto10_baseline,7,0.778571,-0.389286,0.389286,28,199,0,0,0.995000,0.000000,0.000000,7.496803,199,1.990000,NaN,NaN,0.563273,2.416699,-1.679438,2.805985,1.145303,78,0.000000
cylindrical_singlelayer_proto10_baseline,7,0.778571,-0.389286,0.389286,30,200,0,0,1.000000,0.000000,0.000000,2.701166,200,2.000000,NaN,NaN,0.114188,0.115185,-0.274100,0.502476,1.265810,7,0.000000
cylindrical_singlelayer_proto10_baseline,10,0.545000,-0.272500,0.272500,-4,178,0,0,0.890000,0.000000,0.000000,28.409973,178,1.780000,NaN,NaN,-0.234080,16.999104,-17.271604,16.803443,1.071507,200,0.000000
cylindrical_singlelayer_proto10_baseline,10,0.545000,-0.272500,0.272500,-2,175,0,0,0.875000,0.000000,0.000000,27.826646,175,1.750000,NaN,NaN,2.828580,19.421483,-14.036823,19.693983,1.071239,200,0.000000
cylindrical_singlelayer_proto10_baseline,10,0.545000,-0.272500,0.272500,0,174,0,0,0.870000,0.000000,0.000000,27.212070,174,1.740000,NaN,NaN,0.928280,16.594377,-15.010318,16.866877,1.074026,200,0.000000
cylindrical_singlelayer_proto10_baseline,10,0.545000,-0.272500,0.272500,2,173,0,0,0.865000,0.000000,0.000000,27.417277,173,1.730000,NaN,NaN,-3.701525,20.396076,-20.668576,13.265526,1.072572,200,0.000000
cylindrical_singlelayer_proto10_baseline,10,0.545000,-0.272500,0.272500,4,172,0,0,0.860000,0.000000,0.000000,28.425051,172,1.720000,NaN,NaN,-2.099101,19.221425,-19.493925,15.295724,1.073019,200,0.000000
cylindrical_singlelayer_proto10_baseline,10,0.545000,-0.272500,0.272500,6,178,0,0,0.890000,0.000000,0.000000,28.622740,178,1.780000,NaN,NaN,2.015933,19.104673,-15.345308,19.377173,1.070316,200,0.000000
cylindrical_singlelayer_proto10_baseline,10,0.545000,-0.272500,0.272500,8,177,0,0,0.885000,0.000000,0.000000,28.912023,177,1.770000,NaN,NaN,-1.820046,18.529109,-18.801609,15.161517,1.074218,200,0.000000
cylindrical_singlelayer_proto10_baseline,10,0.545000,-0.272500,0.272500,10,177,0,0,0.885000,0.000000,0.000000,28.530696,177,1.770000,NaN,NaN,3.326372,20.225701,-13.845456,20.498201,1.073281,200,0.000000
cylindrical_singlelayer_proto10_baseline,10,0.545000,-0.272500,0.272500,12,172,0,0,0.860000,0.000000,0.000000,26.821272,172,1.720000,NaN,NaN,0.342919,16.225273,-15.811935,16.497773,1.069485,200,0.000000
cylindrical_singlelayer_proto10_baseline,10,0.545000,-0.272500,0.272500,14,179,0,0,0.895000,0.000000,0.000000,27.809133,179,1.790000,NaN,NaN,-0.214112,16.548907,-16.821407,16.393184,1.073404,200,0.000000
cylindrical_singlelayer_proto10_baseline,10,0.545000,-0.272500,0.272500,16,181,0,0,0.905000,0.000000,0.000000,27.000275,181,1.810000,NaN,NaN,-0.991830,16.672198,-16.944698,14.961039,1.070999,200,0.000000
cylindrical_singlelayer_proto10_baseline,10,0.545000,-0.272500,0.272500,18,165,0,0,0.825000,0.000000,0.000000,28.004437,165,1.650000,NaN,NaN,-0.444351,17.187093,-17.459593,16.570892,1.071725,200,0.000000
cylindrical_singlelayer_proto10_baseline,10,0.545000,-0.272500,0.272500,20,178,0,0,0.890000,0.000000,0.000000,26.844267,178,1.780000,NaN,NaN,0.359609,15.916401,-15.469682,16.188901,1.071676,200,0.000000
cylindrical_singlelayer_proto10_baseline,10,0.545000,-0.272500,0.272500,22,184,0,0,0.920000,0.000000,0.000000,28.547282,184,1.840000,NaN,NaN,-0.197208,17.062483,-17.334983,16.940568,1.073396,200,0.000000
cylindrical_singlelayer_proto10_baseline,10,0.545000,-0.272500,0.272500,24,181,0,0,0.905000,0.000000,0.000000,26.637349,181,1.810000,NaN,NaN,1.832569,17.354079,-13.961442,17.626579,1.071987,200,0.000000
cylindrical_singlelayer_proto10_baseline,10,0.545000,-0.272500,0.272500,26,171,0,0,0.855000,0.000000,0.000000,27.890414,171,1.710000,NaN,NaN,-1.587979,18.030622,-18.303122,15.127164,1.070253,200,0.000000
