route_name,sep_factor,theta_sep_deg,theta_a_deg,theta_b_deg,snr_db,raw_success_count,tol_success_count,tol_success_count_rel,raw_success_rate,tol_success_rate,tol_success_rate_rel,rmse_deg,rmse_valid_count,mean_num_peaks,snr90_db,snr90_rel_db,mean_bias_deg,max_bias_deg,mean_az_a_est,mean_az_b_est,lambda2_over_noise,degraded_sample_count
cylindrical_grid_music_baseline,7,0.778571,-0.389286,0.389286,0,0,0,0,0.000000,0.000000,0.000000,NaN,0,1.000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,200
cylindrical_grid_music_baseline,7,0.778571,-0.389286,0.389286,2,0,0,0,0.000000,0.000000,0.000000,NaN,0,1.000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,200
cylindrical_grid_music_baseline,7,0.778571,-0.389286,0.389286,4,0,0,0,0.000000,0.000000,0.000000,NaN,0,1.000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,200
cylindrical_grid_music_baseline,7,0.778571,-0.389286,0.389286,6,0,0,0,0.000000,0.000000,0.000000,NaN,0,1.000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,200
cylindrical_grid_music_baseline,7,0.778571,-0.389286,0.389286,8,0,0,0,0.000000,0.000000,0.000000,NaN,0,1.000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,200
cylindrical_grid_music_baseline,7,0.778571,-0.389286,0.389286,10,0,0,0,0.000000,0.000000,0.000000,NaN,0,1.000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,200
cylindrical_grid_music_baseline,7,0.778571,-0.389286,0.389286,12,0,0,0,0.000000,0.000000,0.000000,NaN,0,1.000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,200
cylindrical_grid_music_baseline,7,0.778571,-0.389286,0.389286,14,0,0,0,0.000000,0.000000,0.000000,NaN,0,1.000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,200
cylindrical_grid_music_baseline,7,0.778571,-0.389286,0.389286,16,0,0,0,0.000000,0.000000,0.000000,NaN,0,1.000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,200
cylindrical_grid_music_baseline,7,0.778571,-0.389286,0.389286,18,0,0,0,0.000000,0.000000,0.000000,NaN,0,1.000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,200
cylindrical_grid_music_baseline,7,0.778571,-0.389286,0.389286,20,0,0,0,0.000000,0.000000,0.000000,NaN,0,1.000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,200
cylindrical_grid_music_baseline,7,0.778571,-0.389286,0.389286,22,0,0,0,0.000000,0.000000,0.000000,NaN,0,1.000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,200
cylindrical_grid_music_baseline,7,0.778571,-0.389286,0.389286,24,0,0,0,0.000000,0.000000,0.000000,NaN,0,1.000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,200
cylindrical_grid_music_baseline,7,0.778571,-0.389286,0.389286,26,0,0,0,0.000000,0.000000,0.000000,NaN,0,1.000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,200
cylindrical_grid_music_baseline,7,0.778571,-0.389286,0.389286,28,0,0,0,0.000000,0.000000,0.000000,NaN,0,1.000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,200
cylindrical_grid_music_baseline,7,0.778571,-0.389286,0.389286,30,0,0,0,0.000000,0.000000,0.000000,NaN,0,1.000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,200
cylindrical_grid_music_baseline,10,0.545000,-0.272500,0.272500,-4,0,0,0,0.000000,0.000000,0.000000,NaN,0,1.000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,200
cylindrical_grid_music_baseline,10,0.545000,-0.272500,0.272500,-2,0,0,0,0.000000,0.000000,0.000000,NaN,0,1.000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,200
cylindrical_grid_music_baseline,10,0.545000,-0.272500,0.272500,0,0,0,0,0.000000,0.000000,0.000000,NaN,0,1.000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,200
cylindrical_grid_music_baseline,10,0.545000,-0.272500,0.272500,2,0,0,0,0.000000,0.000000,0.000000,NaN,0,1.000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,200
cylindrical_grid_music_baseline,10,0.545000,-0.272500,0.272500,4,0,0,0,0.000000,0.000000,0.000000,NaN,0,1.000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,200
cylindrical_grid_music_baseline,10,0.545000,-0.272500,0.272500,6,0,0,0,0.000000,0.000000,0.000000,NaN,0,1.000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,200
cylindrical_grid_music_baseline,10,0.545000,-0.272500,0.272500,8,0,0,0,0.000000,0.000000,0.000000,NaN,0,1.000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,200
cylindrical_grid_music_baseline,10,0.545000,-0.272500,0.272500,10,0,0,0,0.000000,0.000000,0.000000,NaN,0,1.000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,200
cylindrical_grid_music_baseline,10,0.545000,-0.272500,0.272500,12,0,0,0,0.000000,0.000000,0.000000,NaN,0,1.000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,200
cylindrical_grid_music_baseline,10,0.545000,-0.272500,0.272500,14,0,0,0,0.000000,0.000000,0.000000,NaN,0,1.000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,200
cylindrical_grid_music_baseline,10,0.545000,-0.272500,0.272500,16,0,0,0,0.000000,0.000000,0.000000,NaN,0,1.000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,200
cylindrical_grid_music_baseline,10,0.545000,-0.272500,0.272500,18,0,0,0,0.000000,0.000000,0.000000,NaN,0,1.000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,200
cylindrical_grid_music_baseline,10,0.545000,-0.272500,0.272500,20,0,0,0,0.000000,0.000000,0.000000,NaN,0,1.000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,200
cylindrical_grid_music_baseline,10,0.545000,-0.272500,0.272500,22,0,0,0,0.000000,0.000000,0.000000,NaN,0,1.000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,200
cylindrical_grid_music_baseline,10,0.545000,-0.272500,0.272500,24,0,0,0,0.000000,0.000000,0.000000,NaN,0,1.000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,200
cylindrical_grid_music_baseline,10,0.545000,-0.272500,0.272500,26,0,0,0,0.000000,0.000000,0.000000,NaN,0,1.000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,200
cylindrical_grid_music_baseline,10,0.545000,-0.272500,0.272500,28,0,0,0,0.000000,0.000000,0.000000,NaN,0,1.000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,200
cylindrical_grid_music_baseline,10,0.545000,-0.272500,0.272500,30,0,0,0,0.000000,0.000000,0.000000,NaN,0,1.000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,200
cylindrical_root_music_proto10,1,5.450000,-2.725000,2.725000,-4,200,31,200,1.000000,0.155000,1.000000,0.185401,200,2.000000,6.000000,-4.000000,-0.012401,0.078205,-2.671598,2.646795,1.352858,0
cylindrical_root_music_proto10,1,5.450000,-2.725000,2.725000,-2,200,56,200,1.000000,0.280000,1.000000,0.131463,200,2.000000,6.000000,-4.000000,-0.002750,0.060549,-2.669950,2.664451,1.622766,0
cylindrical_root_music_proto10,1,5.450000,-2.725000,2.725000,0,200,95,200,1.000000,0.475000,1.000000,0.092447,200,2.000000,6.000000,-4.000000,-0.007785,0.060537,-2.680033,2.664463,2.052270,0
cylindrical_root_music_proto10,1,5.450000,-2.725000,2.725000,2,200,121,200,1.000000,0.605000,1.000000,0.077122,200,2.000000,6.000000,-4.000000,-0.001957,0.054797,-2.674117,2.670203,2.737520,0
cylindrical_root_music_proto10,1,5.450000,-2.725000,2.725000,4,200,154,200,1.000000,0.770000,1.000000,0.064509,200,2.000000,6.000000,-4.000000,-0.001761,0.053315,-2.675208,2.671685,3.807613,0
cylindrical_root_music_proto10,1,5.450000,-2.725000,2.725000,6,200,188,200,1.000000,0.940000,1.000000,0.057459,200,2.000000,6.000000,-4.000000,0.000699,0.051321,-2.673679,2.675078,5.522450,0
cylindrical_root_music_proto10,1,5.450000,-2.725000,2.725000,8,200,194,200,1.000000,0.970000,1.000000,0.052671,200,2.000000,6.000000,-4.000000,0.002473,0.051060,-2.673940,2.678886,8.240256,0
cylindrical_root_music_proto10,1,5.450000,-2.725000,2.725000,10,200,200,200,1.000000,1.000000,1.000000,0.051151,200,2.000000,6.000000,-4.000000,-0.000000,0.048801,-2.676199,2.676199,12.541585,0
cylindrical_root_music_proto10,1,5.450000,-2.725000,2.725000,12,200,200,200,1.000000,1.000000,1.000000,0.050357,200,2.000000,6.000000,-4.000000,0.000218,0.049276,-2.675724,2.676160,19.364668,0
cylindrical_root_music_proto10,1,5.450000,-2.725000,2.725000,14,200,200,200,1.000000,1.000000,1.000000,0.050224,200,2.000000,6.000000,-4.000000,0.000897,0.050257,-2.674743,2.676538,30.234582,0
cylindrical_root_music_proto10,1,5.450000,-2.725000,2.725000,16,200,200,200,1.000000,1.000000,1.000000,0.049794,200,2.000000,6.000000,-4.000000,0.001871,0.051068,-2.673932,2.677674,47.417890,0
cylindrical_root_music_proto10,1,5.450000,-2.725000,2.725000,18,200,200,200,1.000000,1.000000,1.000000,0.049783,200,2.000000,6.000000,-4.000000,0.000763,0.050225,-2.674775,2.676301,74.498370,0
cylindrical_root_music_proto10,1,5.450000,-2.725000,2.725000,20,200,200,200,1.000000,1.000000,1.000000,0.049267,200,2.000000,6.000000,-4.000000,0.001158,0.050191,-2.674809,2.677125,117.799261,0
cylindrical_root_music_proto10,1,5.450000,-2.725000,2.725000,22,200,200,200,1.000000,1.000000,1.000000,0.049309,200,2.000000,6.000000,-4.000000,0.001024,0.050197,-2.674803,2.676851,185.744327,0
cylindrical_root_music_proto10,1,5.450000,-2.725000,2.725000,24,200,200,200,1.000000,1.000000,1.000000,0.049404,200,2.000000,6.000000,-4.000000,0.001377,0.050672,-2.674328,2.677083,294.066254,0
cylindrical_root_music_proto10,1,5.450000,-2.725000,2.725000,26,200,200,200,1.000000,1.000000,1.000000,0.049170,200,2.000000,6.000000,-4.000000,0.001330,0.050434,-2.674566,2.677226,464.342161,0
cylindrical_root_music_proto10,1,5.450000,-2.725000,2.725000,28,200,200,200,1.000000,1.000000,1.000000,0.049258,200,2.000000,6.000000,-4.000000,0.001309,0.050518,-2.674482,2.677099,733.384358,0
cylindrical_root_music_proto10,1,5.450000,-2.725000,2.725000,30,200,200,200,1.000000,1.000000,1.000000,0.049240,200,2.000000,6.000000,-4.000000,0.001215,0.050420,-2.674580,2.677010,1156.240429,0
cylindrical_root_music_proto10,2,2.725000,-1.362500,1.362500,-4,180,0,0,0.900000,0.000000,0.000000,27.711833,180,1.800000,18.000000,8.000000,1.462137,17.346823,-15.785050,18.709323,1.069167,200
