config_name,scenario_name,adaptive_policy_name,adaptive_confidence,adaptive_boundary_flag,failure_reason,row_id,config_id,seed_group_id,base_seed,trial_id,seed,az_center_bias_deg,el_center_bias_deg,truth_az1,truth_az2,truth_el1,truth_el2,true_orientation,fixed_success,adaptive_success,full_success,fixed_rmse,adaptive_rmse,full_rmse,fixed_num_pairs,adaptive_num_pairs,full_num_pairs,adaptive_vs_fixed_pair_count_ratio,fixed_full_grid_match,adaptive_full_grid_match,fixed_topK_miss,adaptive_topK_miss,fixed_boundary_hit,adaptive_boundary_hit,H_norm,gap_13,gap_17,boundary_risk,cond_risk,U_search,U_confidence,adaptive_topK,az_window_scale,el_window_scale
C05_easy_very_aggressive,strong_coherent,EASY,high,,,346,5,3,20260611,16,20262627,0,0,7.365,8.635,10.495,10.125,-1,1,1,1,0.0543139024560002,0.0140712472794703,0.0543139024560002,19998,9729,131461,0.486498649864986,1,1,0,0,0,0,0.995430543710515,0.00236108480498666,0.00794699316042459,0,0.0161804396345576,0.163431625586223,0.405688733125097,1,0.6,0.6
C05_easy_very_aggressive,strong_coherent,EASY,high,,,347,5,3,20260611,17,20262628,0,0,7.365,8.635,10.125,10.495,1,1,1,1,0.0543139024560002,0.0140712472794703,0.0543139024560002,19998,9729,131461,0.486498649864986,1,1,0,0,0,0,0.994583939384808,0.00403336345150526,0.00860014490440742,0,0.0148363999557136,0.025,0.351813478773611,1,0.6,0.6
C05_easy_very_aggressive,strong_coherent,EASY,high,,,348,5,3,20260611,18,20262629,0,0,7.365,8.635,10.495,10.125,-1,1,1,1,0.0543139024560002,0.0140712472794703,0.0543139024560002,19998,9729,131461,0.486498649864986,1,1,0,0,0,0,0.995406519996193,0.00236163190369815,0.00796992353677278,0,0.0161804396345576,0.163313087532067,0.405634733265794,1,0.6,0.6
C05_easy_very_aggressive,strong_coherent,EASY,high,,,349,5,3,20260611,19,20262630,0,0,7.365,8.635,10.125,10.495,1,1,1,1,0.0543139024560002,0.0140712472794703,0.0543139024560002,19998,9729,131461,0.486498649864986,1,1,0,0,0,0,0.994599783272605,0.00400517260093485,0.00858224711424299,0,0.0148363999557136,0.025,0.35181902413434,1,0.6,0.6
C05_easy_very_aggressive,strong_coherent,EASY,high,,,350,5,3,20260611,20,20262631,0,0,7.365,8.635,10.495,10.125,-1,1,1,1,0.0543139024560002,0.0140712472794703,0.0543139024560002,19998,9729,131461,0.486498649864986,1,1,0,0,0,0,0.995451472853639,0.00235461261115639,0.00794015791241386,0,0.0161804396345576,0.164833934249448,0.406235407811047,1,0.6,0.6
C05_easy_very_aggressive,strong_coherent,EASY,high,,,351,5,3,20260611,21,20262632,0,0,7.365,8.635,10.125,10.495,1,1,1,1,0.0543139024560002,0.0140712472794703,0.0543139024560002,19998,9729,131461,0.486498649864986,1,1,0,0,0,0,0.994565972789547,0.0040230085289814,0.00859600141736429,0,0.0148363999557136,0.025,0.35180719046527,1,0.6,0.6
C05_easy_very_aggressive,strong_coherent,EASY,high,,,352,5,3,20260611,22,20262633,0,0,7.365,8.635,10.495,10.125,-1,1,1,1,0.0543139024560002,0.0140712472794703,0.0543139024560002,19998,9729,131461,0.486498649864986,1,1,0,0,0,0,0.995401978140667,0.0023692581915147,0.00799026598490982,0,0.0161804396345576,0.161660725171816,0.404997619631648,1,0.6,0.6
C05_easy_very_aggressive,strong_coherent,EASY,high,,,353,5,3,20260611,23,20262634,0,0,7.365,8.635,10.125,10.495,1,1,1,1,0.0543139024560002,0.0140712472794703,0.0543139024560002,19998,9729,131461,0.486498649864986,1,1,0,0,0,0,0.99451434263554,0.00405323822378276,0.00862796537816462,0,0.0148363999557136,0.025,0.351789119911368,1,0.6,0.6
C05_easy_very_aggressive,strong_coherent,EASY,high,,,354,5,3,20260611,24,20262635,0,0,7.365,8.635,10.495,10.125,-1,1,1,1,0.0543139024560002,0.0140712472794703,0.0543139024560002,19998,9729,131461,0.486498649864986,1,1,0,0,0,0,0.995411146602094,0.00234394148074006,0.00793252762890012,0,0.0161804396345576,0.167146012506321,0.407110554491034,1,0.6,0.6
C05_easy_very_aggressive,strong_coherent,EASY,high,,,355,5,3,20260611,25,20262636,0,0,7.365,8.635,10.125,10.495,1,1,1,1,0.0543139024560002,0.0140712472794703,0.0543139024560002,19998,9729,131461,0.486498649864986,1,1,0,0,0,0,0.994535970565381,0.00403870431421525,0.00861437207697149,0,0.0148363999557136,0.025,0.351796689686812,1,0.6,0.6
C05_easy_very_aggressive,strong_coherent,EASY,high,,,356,5,3,20260611,26,20262637,0,0,7.365,8.635,10.495,10.125,-1,1,1,1,0.0543139024560002,0.0140712472794703,0.0543139024560002,19998,9729,131461,0.486498649864986,1,1,0,0,0,0,0.995427090719801,0.00234245589041628,0.00794323123119557,0,0.0161804396345576,0.167467890409807,0.40723993412588,1,0.6,0.6
C05_easy_very_aggressive,strong_coherent,EASY,high,,,357,5,3,20260611,27,20262638,0,0,7.365,8.635,10.125,10.495,1,1,1,1,0.0543139024560002,0.0140712472794703,0.0543139024560002,19998,9729,131461,0.486498649864986,1,1,0,0,0,0,0.994567894722047,0.00402517952047081,0.00860393243255924,0,0.0148363999557136,0.025,0.351807863141645,1,0.6,0.6
C05_easy_very_aggressive,strong_coherent,EASY,high,,,358,5,3,20260611,28,20262639,0,0,7.365,8.635,10.495,10.125,-1,1,1,1,0.0543139024560002,0.0140712472794703,0.0543139024560002,19998,9729,131461,0.486498649864986,1,1,0,0,0,0,0.995420299716966,0.00235661899240184,0.00795227609078789,0,0.0161804396345576,0.164399218312935,0.406057298776091,1,0.6,0.6
C05_easy_very_aggressive,strong_coherent,EASY,high,,,359,5,3,20260611,29,20262640,0,0,7.365,8.635,10.125,10.495,1,1,1,1,0.0543139024560002,0.0140712472794703,0.0543139024560002,19998,9729,131461,0.486498649864986,1,1,0,0,0,0,0.994563119855753,0.00402097518712328,0.00860412715817394,0,0.0148363999557136,0.025,0.351806191938442,1,0.6,0.6
C05_easy_very_aggressive,strong_coherent,EASY,high,,,360,5,3,20260611,30,20262641,0,0,7.365,8.635,10.495,10.125,-1,1,1,1,0.0543139024560002,0.0140712472794703,0.0543139024560002,19998,9729,131461,0.486498649864986,1,1,0,0,0,0,0.995499552776663,0.00237784167872678,0.00791569210100949,0,0.0161804396345576,0.159800969609199,0.40431648015324,1,0.6,0.6
