route_name,K_phi,P_phi,center_window_size,sigma_phi,sep_factor,theta_sep_deg,snr_db,raw_success_rate,tol_success_rate_abs01,tol_success_rate_rel025,rmse_deg,mean_num_peaks,degraded_rate,oracle_best_subarray_tol_rate,center_window_two_peak_rate,best_route_minus_center_real,best_route_minus_min_den
center_window_5_avg_spectrum,20,46,5,NaN,10,0.263775445,30,0.370000000,0.370000000,0.260000000,0.058479289,1.370000000,0.630000000,0.420000000,0.370000000,0.000000000,0.000000000
center_window_5_avg_spectrum,24,42,5,NaN,7,0.376822064,24,0.920000000,0.870000000,0.820000000,0.072057043,1.920000000,0.080000000,0.900000000,0.912000000,0.000000000,0.000000000
center_window_5_avg_spectrum,24,42,5,NaN,7,0.376822064,28,1.000000000,0.990000000,0.970000000,0.070273780,2.000000000,0.000000000,1.000000000,0.996000000,0.000000000,0.000000000
center_window_5_avg_spectrum,24,42,5,NaN,7,0.376822064,30,1.000000000,1.000000000,1.000000000,0.068605007,2.000000000,0.000000000,1.000000000,1.000000000,0.000000000,0.000000000
center_window_5_avg_spectrum,24,42,5,NaN,10,0.263775445,24,0.150000000,0.130000000,0.060000000,0.094731825,1.150000000,0.850000000,0.140000000,0.136000000,0.000000000,0.000000000
center_window_5_avg_spectrum,24,42,5,NaN,10,0.263775445,28,0.190000000,0.190000000,0.110000000,0.060277146,1.190000000,0.810000000,0.220000000,0.184000000,0.000000000,0.000000000
center_window_5_avg_spectrum,24,42,5,NaN,10,0.263775445,30,0.170000000,0.160000000,0.070000000,0.071738294,1.170000000,0.830000000,0.250000000,0.190000000,0.000000000,0.000000000
center_window_5_avg_spectrum,28,38,5,NaN,7,0.376822064,24,0.740000000,0.670000000,0.570000000,0.082844264,1.740000000,0.260000000,0.680000000,0.736000000,0.000000000,0.000000000
center_window_5_avg_spectrum,28,38,5,NaN,7,0.376822064,28,0.970000000,0.900000000,0.830000000,0.081333791,1.970000000,0.030000000,0.950000000,0.958000000,0.000000000,0.000000000
center_window_5_avg_spectrum,28,38,5,NaN,7,0.376822064,30,1.000000000,0.990000000,0.970000000,0.081411182,2.000000000,0.000000000,0.990000000,0.996000000,0.000000000,0.000000000
center_window_5_avg_spectrum,28,38,5,NaN,10,0.263775445,24,0.100000000,0.100000000,0.050000000,0.062629293,1.100000000,0.900000000,0.110000000,0.096000000,0.000000000,0.000000000
center_window_5_avg_spectrum,28,38,5,NaN,10,0.263775445,28,0.050000000,0.050000000,0.010000000,0.082801875,1.050000000,0.950000000,0.050000000,0.044000000,0.000000000,0.000000000
center_window_5_avg_spectrum,28,38,5,NaN,10,0.263775445,30,0.040000000,0.040000000,0.010000000,0.068264203,1.040000000,0.960000000,0.070000000,0.050000000,0.000000000,0.000000000
center_window_5_avg_spectrum,32,34,5,NaN,7,0.376822064,24,0.330000000,0.200000000,0.180000000,0.095680170,1.330000000,0.670000000,0.210000000,0.324000000,0.000000000,0.000000000
center_window_5_avg_spectrum,32,34,5,NaN,7,0.376822064,28,0.590000000,0.310000000,0.230000000,0.098748170,1.590000000,0.410000000,0.360000000,0.590000000,0.000000000,0.000000000
center_window_5_avg_spectrum,32,34,5,NaN,7,0.376822064,30,0.720000000,0.220000000,0.130000000,0.103906016,1.720000000,0.280000000,0.290000000,0.710000000,0.000000000,0.000000000
center_window_5_avg_spectrum,32,34,5,NaN,10,0.263775445,24,0.020000000,0.020000000,0.020000000,0.050340192,1.020000000,0.980000000,0.030000000,0.024000000,0.000000000,0.000000000
center_window_5_avg_spectrum,32,34,5,NaN,10,0.263775445,28,0.000000000,0.000000000,0.000000000,NaN,1.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000
center_window_5_avg_spectrum,32,34,5,NaN,10,0.263775445,30,0.000000000,0.000000000,0.000000000,NaN,1.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000
center_window_7_avg_spectrum,20,46,7,NaN,7,0.376822064,24,0.950000000,0.890000000,0.820000000,0.069852178,1.950000000,0.050000000,0.900000000,0.941428571,0.000000000,0.000000000
center_window_7_avg_spectrum,20,46,7,NaN,7,0.376822064,28,1.000000000,1.000000000,1.000000000,0.064306693,2.000000000,0.000000000,1.000000000,1.000000000,0.000000000,0.000000000
center_window_7_avg_spectrum,20,46,7,NaN,7,0.376822064,30,1.000000000,1.000000000,1.000000000,0.063451112,2.000000000,0.000000000,1.000000000,1.000000000,0.000000000,0.000000000
center_window_7_avg_spectrum,20,46,7,NaN,10,0.263775445,24,0.030000000,0.010000000,0.000000000,0.133169337,1.030000000,0.970000000,0.020000000,0.032857143,0.000000000,0.000000000
center_window_7_avg_spectrum,20,46,7,NaN,10,0.263775445,28,0.190000000,0.190000000,0.100000000,0.062690628,1.190000000,0.810000000,0.320000000,0.208571429,0.000000000,0.000000000
center_window_7_avg_spectrum,20,46,7,NaN,10,0.263775445,30,0.330000000,0.320000000,0.230000000,0.059839835,1.330000000,0.670000000,0.420000000,0.322857143,0.000000000,0.000000000
center_window_7_avg_spectrum,24,42,7,NaN,7,0.376822064,24,0.910000000,0.840000000,0.790000000,0.074212242,1.910000000,0.090000000,0.900000000,0.884285714,0.000000000,0.000000000
center_window_7_avg_spectrum,24,42,7,NaN,7,0.376822064,28,1.000000000,0.990000000,0.970000000,0.072015981,2.000000000,0.000000000,1.000000000,0.991428571,0.000000000,0.000000000
center_window_7_avg_spectrum,24,42,7,NaN,7,0.376822064,30,1.000000000,1.000000000,0.990000000,0.070565503,2.000000000,0.000000000,1.000000000,1.000000000,0.000000000,0.000000000
